"VARIABLE_SURVEY_DATA","TOOL_LABEL_SURVEY_DATA","PHASE","ACTIVITY","SURVEY_QUESTION_NUMBER","IS_OTHER_VARIABLE","FREE_TEXT_VARIABLE"
"WRITESPECCL","Other tools to write / prepare your manuscript","Writing","write / prepare your manuscript","4A",,"freetext"
"ENDNOTE","EndNote","Writing","reference management","4B",,
"ZOTERO","Zotero","Writing","reference management","4B",,
"REFWORKS","RefWorks","Writing","reference management","4B",,
"MENDREF","Mendeley","Writing","reference management","4B",,
"PAPERS","Papers","Writing","reference management","4B",,
"REFME","REfME","Writing","reference management","4B",,
"CITAVI","Citavi","Writing","reference management","4B",,
"REFOTHCL","Other tools selected to do reference management","Writing","reference management","4B","other",
"REFSPECCL","Other tools to do reference management","Writing","reference management","4B",,"freetext"
"ARXIV","arXiv","Publication","archive/share publications","5A",,
"PMC","PubMed Central","Publication","archive/share publications","5A",,
"INREP","Institutional repository","Publication","archive/share publications","5A",,
"BIORXIV","bioRxiv","Publication","archive/share publications","5A",,
"WORKPAP","I share working papers","Publication","archive/share publications","5A",,
"RGATESHAREPUB","ResearchGate","Publication","archive/share publications","5A",,
"SSRN","SSRN","Publication","archive/share publications","5A",,
"SHAREPUBOTHCL","Other tools selected to archive/share publications","Publication","archive/share publications","5A","other",
"SHAREPUBSPECCL","Other tools to archive/share publications","Publication","archive/share publications","5A",,"freetext"
"GITHUB","GitHub","Publication","archive/share data & code","5B",,
"FIGSDATA","Figshare","Publication","archive/share data & code","5B",,
"ZENODATA","Zenodo","Publication","archive/share data & code","5B",,
"DRYAD","Dryad","Publication","archive/share data & code","5B",,
"DATAVERSE","Dataverse","Publication","archive/share data & code","5B",,
"PANGAEA","Pangaea","Publication","archive/share data & code","5B",,
"BITBUCK","BitBucket","Publication","archive/share data & code","5B",,
"DATAOTHCL","Other tools selected to archive/share data & code","Publication","archive/share data & code","5B","other",
"DATASPECCL","Other tools to archive/share data & code","Publication","archive/share data & code","5B",,"freetext"
"JCRIFSEL","JCR (impact factors)","Publication","decide which journal to submit your manuscript to","5C",,
"DOAJ","DOAJ","Publication","decide which journal to submit your manuscript to","5C",,
"SCOPSEL","Scopus","Publication","decide which journal to submit your manuscript to","5C",,
"SHERPAROM","Sherpa Romeo","Publication","decide which journal to submit your manuscript to","5C",,
"QOAM","QOAM","Publication","decide which journal to submit your manuscript to","5C",,
"SCIMAGO","SCImago Journal Rank","Publication","decide which journal to submit your manuscript to","5C",,
"JOURNALYS","Journalysis","Publication","decide which journal to submit your manuscript to","5C",,
"JRNLOTHCL","Other tools selected to decide which journal to submit your manuscript to","Publication","decide which journal to submit your manuscript to","5C","other",
"JRNLSPECCL","Other tools to decide which journal to submit your manuscript to","Publication","decide which journal to submit your manuscript to","5C",,"freetext"
"JTOPTRAD","Topical journal (traditional publisher)","Publication","publish","5D",,
"JTOPOA","Topical journal (OA publisher)","Publication","publish","5D",,
"MEGATRAD","Megajournal (traditional publisher)","Publication","publish","5D",,
"MEGAOA","Megajournal (OA publisher)","Publication","publish","5D",,
"DATAJRNL","Data journal","Publication","publish","5D",,
"WINNOWER","Winnower","Publication","publish","5D",,
"F1000RES","F1000Research","Publication","publish","5D",,
"PUBLOTHCL","Other tools selected to publish","Publication","publish","5D","other",
"PUBLSPECCL","Other tools to publish","Publication","publish","5D",,"freetext"
"SPEAKER","Speakerdeck","Outreach","archive/share posters & presentations","6A",,
"SLIDSHA","Slideshare","Outreach","archive/share posters & presentations","6A",,
"F1000POS","F1000Posters","Outreach","archive/share posters & presentations","6A",,
"SCIOPPO","ScienceOpen Posters","Outreach","archive/share posters & presentations","6A",,
"FIGSPOST","Figshare","Outreach","archive/share posters & presentations","6A",,
"ZENOPOST","Zenodo","Outreach","archive/share posters & presentations","6A",,
"VIMEO","Vimeo","Outreach","archive/share posters & presentations","6A",,
"POSTOTHCL","Other tools selected to archive/share posters & presentations","Outreach","archive/share posters & presentations","6A","other",
"POSTSPECCL","Other tools to archive/share posters & presentations","Outreach","archive/share posters & presentations","6A",,"freetext"
"WIKIPEDIA","Wikipedia","Outreach","tell about your research outside academia","6B",,
"RESBLOG","ResearchBlogging.org","Outreach","tell about your research outside academia","6B",,
"WORDPRESS","Wordpress","Outreach","tell about your research outside academia","6B",,
"KUDOS","Kudos","Outreach","tell about your research outside academia","6B",,
"FAMELAB","FameLab","Outreach","tell about your research outside academia","6B",,
"PINTSCI","Pint of Science","Outreach","tell about your research outside academia","6B",,
"TWITTER","Twitter","Outreach","tell about your research outside academia","6B",,
"TELLOTHCL","Other tools selected to archive/share posters & presentations","Outreach","tell about your research outside academia","6B","other",
"TELLSPECCL","Other tools to archive/share posters & presentations","Outreach","tell about your research outside academia","6B",,"freetext"
"SCHOLARCIT","Google Scholar Citations","Outreach","profiling research activities","6C",,
"RGATEPROF","ResearchGate","Outreach","profiling research activities","6C",,
"ORCID","ORCID","Outreach","profiling research activities","6C",,
"ACADEMIA","Academia.edu","Outreach","profiling research activities","6C",,
"RESID","ResearcherID","Outreach","profiling research activities","6C",,
"INSTPAGE","Profile page at own institution","Outreach","profiling research activities","6C",,
"MYSCIWORK","My Science Work","Outreach","profiling research activities","6C",,
"RESPROFOTHCL","Other tools selected to profile your research activities","Outreach","profiling research activities","6C","other",
"RESPROFSPECCL","Other tools to profile your research activities","Outreach","profiling research activities","6C",,"freetext"
"PERRSCI","Peerage of Science","Assessment","peer review beyond that organized by journals","7A",,
"PUBLONS","Publons","Assessment","peer review beyond that organized by journals","7A",,
"PMCCOMMONS","PubMed Commons","Assessment","peer review beyond that organized by journals","7A",,
"PUBPEER","PubPeer","Assessment","peer review beyond that organized by journals","7A",,
"PAPARCRIT","PaperCritic","Assessment","peer review beyond that organized by journals","7A",,
"RUBRIQ","RubriQ","Assessment","peer review beyond that organized by journals","7A",,
"KARMA","Academic Karma","Assessment","peer review beyond that organized by journals","7A",,
"PROTHCL","Other tools selected to peer review beyond that organized by journals","Assessment","peer review beyond that organized by journals","7A","other",
"PRSPECCL","Other tools to peer review beyond that organized by journals","Assessment","peer review beyond that organized by journals","7A",,"freetext"
"JCRIFIMP","JCR (impact factor)","Assessment","measure impact","7B",,
"ALTMETRIC","Altmetric","Assessment","measure impact","7B",,
"SCOPID","Scopus","Assessment","measure impact","7B",,
"IMPSTOR","ImpactStory","Assessment","measure impact","7B",,
"PLOSALM","PLoS article level metrics","Assessment","measure impact","7B",,
"WOSIMP","Web of Science","Assessment","measure impact","7B",,
"HARZPOP","Harzing Publish or Perish","Assessment","measure impact","7B",,
"IMPACTOTHCL","Other tools selected to measure impact","Assessment","measure impact","7B","other",
"IMPACTSPECCL","Other tools to measure impact","Assessment","measure impact","7B",,"freetext"
