Variable name;NAME in BIG101-tooldata-cleaned;variable name in BIG101-surveyvariables
tool_write_overleaf;Overleaf ;OVERLEAF
tool_archcode_pangaea;Pangaea;PANGAEA
tool_review_papercritic;Paper Critic;PAPARCRIT
tool_search_paperity;Paperity;PAPERI
tool_ref_papers;;PAPERS
tool_access_ppv;;PAYVIEW
tool_review_pos;Peerageofscience;PERRSCI
tool_pop_pos;Pint of Science;PINTSCI
tool_impact_plos;PLoS Article-Level Metrics;PLOSALM
tool_profile_instit;;INSTPAGE
tool_share_protocolonline;Protocol online;PROTOCONL
tool_share_protocolsio;Protocols.io;PROTOCIO
tool_review_publons;Publons ;PUBLONS
tool_search_pubmed;PubMed;PUBMED
tool_archpub_pubmed;PMC (PubMed Central);PMC
tool_review_pubmed;PubMed Commons;PMCCOMMONS
tool_review_pubpeer;PubPeer ;PUBPEER
tool_submit_qoam;QOAM (Quality Open Access Market);QOAM
tool_analysis_r;;RTOOL
tool_analysis_ropen;ROpenSci;ROPENSCI
tool_read_readcube;Readcube;READCUBE
tool_ref_refme;RefME;REFME
tool_ref_refworks;RefWorks;REFWORKS
tool_alert_resgate;ResearchGate;RGATESHAREPUB
tool_access_res4life;Research4life (in 4 UN programmes HINARI- AGORA- AORE- ARDI);RES4LIFE
tool_pop_resblog;Research Blogging;RESBLOG
tool_profile_resid;ResearcherID;RESID
tool_access_resgate;ResearchGate;RGATEACCESS
tool_archpub_resgate;ResearchGate;RGATESHAREPUB
tool_profile_resgate;ResearchGate;RGATEPROF
tool_review_rubriq;Rubriq;RUBRIQ
tool_write_scalar;Scalar;SCALAR
tool_archpres_sop;Science Open Posters;SCIOPPO
tool_share_scipro;Scientific Protocols;SCIPROT
tool_submit_sci;SciMago Journal Rank;SCIMAGO
tool_impact_scopus;Scopus ;SCOPID
tool_search_scopus;Scopus ;SCOPSEARCH
tool_submit_scopus;Scopus ;SCOPSEL
tool_write_scrivener;Scrivener;SCRIVEN
tool_submit_sherpa;Sherpa/ROMEO;SHERPAROM
tool_archpres_slideshare;SlideShare;SLIDSHA
tool_alert_sparrho;Sparrho;SPARRHO
tool_archpres_speakerdeck;Speakerdeck;SPEAKER
tool_analysis_spss;;SPSS
tool_archpub_ssrn;SSRN;SSRN
tool_pub_topicoa;;JTOPOA
tool_pub_topictrad;;JTOPTRAD
tool_pop_twit;;TWITTER
tool_read_utopia;Utopiadocs;UTOPDOCS
tool_archpres_vimeo;;VIMEO
tool_impact_wos;Science Citation Index (Web of Science);WOSIMP
tool_search_wos;Science Citation Index (Web of Science);WOSSEARCH
tool_pop_wiki;Wikipedia (& Wikimedia Commons);WIKIPEDIA
tool_pub_winnower;;WINNOWER
tool_pop_wordpress;;WORDPRESS
tool_search_worldcat;WorldCat;WORLDCAT
tool_archcode_zenodo;Zenodo;ZENODATA
tool_archpres_zenodo;Zenodo;ZENOPOST
tool_ref_zotero;Zotero;ZOTERO
